variant,N,E_shape
SL,48,0.0009928677463904023
SL,64,0.000590798445045948
SL,96,0.0002390745357843116
SL,128,0.00012905099720228463
FD,48,0.0010192381450906396
FD,64,0.0005915761576034129
FD,96,0.0002390386362094432
FD,128,0.00012870151840616018
noFC,48,0.0010030721314251423
noFC,64,0.0005922072450630367
noFC,96,0.0002394292678218335
noFC,128,0.00012889126082882285
