variant,N,E_shape
SL,48,0.00494516734033823
SL,64,0.0031376946717500687
SL,96,0.0014845480909571052
SL,128,0.0010496452450752258
FD,48,0.00494516221806407
FD,64,0.003137693740427494
FD,96,0.0014845478581264615
FD,128,0.0010496453614905477
noFC,48,0.004945318214595318
noFC,64,0.00313772214576602
noFC,96,0.0014844989636912942
noFC,128,0.0010496422182768583
